5194	16	5975
8061	143	7266
585	11	8820
7312	209	5405
893	1	3111
395	103	12185
7488	112	13831
2937	176	1889
13705	66	1736
13747	78	9461
10067	45	10681
8530	81	4803
7596	112	5090
8876	55	8919
7336	1	12492
7494	10	9948
10869	112	3491
7668	103	5035
2740	22	10110
2170	208	9681
10601	140	3316
10659	88	4928
14317	19	7756
3135	88	9046
2488	146	1124
465	45	13527
6308	116	11742
13175	72	2908
4733	22	7989
3680	123	14347
1736	24	8144
12828	45	8689
13916	103	2360
10894	95	13414
3555	1	4560
11204	121	13355
14165	187	11212
9567	95	5234
10324	112	7105
14078	140	10438
12130	195	7111
7052	11	7241
2172	212	6328
6140	121	14332
321	182	78
3281	104	4206
242	97	12185
5737	1	14103
12268	120	1143
10819	11	10426
13311	1	883
8664	187	155
6599	112	2131
8785	146	215
5316	209	14156
599	95	12288
2531	110	6089
358	2	10247
1076	154	14398
2092	146	3473
8119	22	924
3606	11	4408
5395	195	6825
20	176	5021
5355	29	10432
10773	226	11562
176	195	3429
13542	72	6595
2092	147	8691
7805	126	4205
8888	45	3910
2842	45	13005
2185	81	2084
6476	89	8001
9933	195	560
5834	189	9576
10663	1	2494
9635	146	4875
9329	29	10121
8057	7	2003
12915	195	8710
4908	134	2271
3996	112	5674
12540	140	14356
10068	95	12669
2837	123	11613
11344	40	12855
13180	210	9568
1054	187	2862
11101	132	3605
8284	16	11668
11319	103	10332
2173	2	1231
8360	40	11288
7202	45	10302
9582	1	10831
8061	143	6040
12954	119	10834
10191	116	13916
9911	131	435
4821	154	4805
8875	22	4948
2485	82	8242
344	97	6332
4650	216	1956
178	98	4779
768	38	6922
11579	97	470
381	97	1879
3388	22	4121
4154	66	10027
5092	45	9966
3019	207	4723
2763	97	13222
2861	103	12098
3556	22	531
11702	165	3699
8181	221	10435
8173	188	7218
10128	97	9583
8054	112	3027
13321	112	3507
5718	195	1847
12368	200	9354
11880	140	5014
13226	1	2455
4634	88	11969
8429	112	12164
13232	212	2126
1224	103	9721
6461	205	3038
10124	27	6849
3791	81	187
8762	78	6592
2631	112	10663
4340	226	9355
8516	140	10448
14406	137	11861
13808	1	11183
14144	195	10298
8387	45	448
4835	168	8484
6225	95	8951
5192	97	9427
1904	13	8588
9761	134	13333
5830	227	12264
12375	112	11407
8091	45	2819
8786	45	7791
6885	127	3620
12061	140	6149
3101	1	3220
11095	112	13373
8005	39	6441
6609	114	9581
8619	11	7564
9478	55	9381
3076	140	10000
9032	221	8182
2875	140	13724
2805	140	12040
14399	188	1906
7472	103	11916
7507	3	4031
7829	123	6517
9660	214	12555
4243	24	13567
12517	88	5674
3169	19	10941
66	72	3932
9263	222	5078
41	88	3636
592	103	14452
4032	24	10158
2093	112	1272
11437	6	12466
5313	16	8474
12456	112	7068
8560	88	4781
9356	187	1744
12966	211	10476
4079	45	4407
5384	88	13665
6974	103	1709
8434	112	13311
11007	95	1055
8585	112	14475
8569	83	7587
9032	221	704
14236	89	14073
4610	103	11408
6249	22	2370
1450	112	299
816	140	5617
7878	209	11312
10067	45	3419
11928	16	9350
3714	103	7329
2465	188	220
13678	126	10887
2963	112	3579
4353	212	10429
692	114	5763
1522	1	3357
7999	146	12349
11751	1	3938
5882	38	1731
8059	55	12963
11713	29	12469
237	1	12068
11313	140	6175
11424	103	13858
8028	112	6874
8958	22	851
9708	126	13465
10479	127	4822
9928	195	8109
6692	218	3703
292	126	9656
4206	84	12812
7853	222	5243
7381	205	2547
11625	27	5332
7484	1	13491
2201	89	13355
11424	103	9442
3864	81	14040
4581	103	2018
9448	140	11237
12517	88	11273
13923	195	7111
2394	66	3532
6636	195	12183
11586	165	8853
13350	45	9301
9744	212	11229
4450	127	4691
8155	218	9889
4282	187	4033
8310	32	2811
12598	123	8034
8514	16	9175
344	11	797
6470	45	10420
10308	45	13668
9072	112	13740
646	103	3617
4494	103	959
246	154	10157
12000	72	13984
10882	181	11705
9127	89	2462
9434	39	3827
7175	195	2248
2825	180	11595
94	22	8492
13673	97	8334
11898	203	8790
554	128	9451
5718	45	7890
7478	97	7580
11638	121	12669
12336	97	3106
8190	88	11083
9766	55	10592
12068	95	11295
5833	126	840
1060	120	8740
9041	90	4391
5978	103	3926
8428	103	8330
7132	11	5935
10810	140	8444
2513	173	2217
4198	83	5782
13551	58	6378
6197	88	10166
6893	140	2337
10498	97	12130
2806	226	1966
3381	20	9705
5819	143	13711
551	181	9726
6163	78	10974
1310	66	12804
9812	95	9469
3850	1	1343
3129	66	1416
1824	55	12134
12793	182	5663
3353	175	9336
5450	214	8822
10884	32	679
1717	127	6885
7213	72	11133
11522	211	4418
14079	155	8524
1486	168	11497
10437	127	4550
630	66	7790
1782	140	14022
12345	45	2397
5039	218	11522
6185	232	12578
8835	121	3100
7733	103	3531
321	182	463
10178	96	9407
12662	154	2730
4508	217	14293
10148	140	6623
11917	113	12047
9970	89	11622
9613	27	6697
2846	78	13472
14293	221	8822
13996	127	13501
12897	45	5478
5280	187	6672
6840	27	151
3112	227	11458
4267	218	1715
4683	55	9760
7530	45	8753
6135	226	893
6670	4	6794
12530	83	14302
9088	203	8188
10593	22	10984
3750	187	10809
8284	16	324
8838	1	13259
4097	193	3724
58	195	7727
754	143	5449
13953	83	3064
4233	112	13001
10911	126	6580
1360	97	4938
4205	11	780
7405	225	13567
11711	112	5869
696	11	10444
10827	187	2774
12481	173	1098
7859	88	9957
13276	11	11292
7426	55	10062
9824	112	10778
5216	165	7516
225	112	9990
13634	112	9811
329	126	14064
5365	228	7921
8144	232	13417
2603	188	4826
6157	103	10827
12765	188	5447
902	142	8014
5752	27	1393
13501	127	5461
12940	95	2891
5987	103	11611
3267	22	11897
5176	24	5961
14045	97	12468
4089	97	10150
7672	140	9929
1010	140	1219
9161	140	7251
3919	176	4550
9471	173	1062
8200	88	11456
49	112	5553
5025	55	7451
10597	127	6369
6624	134	9341
8831	187	13724
10938	104	14476
10001	212	4776
11462	17	13308
4138	116	4465
11092	11	8881
10447	168	694
368	225	10989
8771	89	14073
4307	146	3196
4263	140	2827
9911	127	5543
2177	195	8710
11068	161	12281
6754	11	10148
13443	110	10764
3526	11	4109
12115	97	11798
12609	140	292
3288	216	13949
1097	96	8152
11949	155	12158
13246	99	6551
125	95	11548
4443	182	1580
13939	22	10738
8568	4	3433
3566	162	13587
3014	154	13285
5050	176	1231
11489	208	5292
2221	212	5372
11992	22	12240
10466	11	4760
9564	114	10802
5163	103	4447
13163	112	4238
10051	225	12281
4929	126	9537
1587	22	11678
